dgp,K_branch,variant,baing_branch,initialiser,n_worlds,P_reach_r_true,sd,mcse,ci_low,ci_high,mean_r0
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,ER,20,0.59,0.4564162458476738,0.10205777517506548,0.37639062161919745,0.8036093783808025,5.569999999999999
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,GR,20,0.41,0.46100576546229194,0.10308402295930096,0.19424266032100942,0.6257573396789905,6.090000000000001
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,released,20,0.11000000000000001,0.2468752081944492,0.05520297474822015,-0.005541154022916675,0.2255411540229167,6.2
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,zero_fixed,20,0.11000000000000001,0.2468752081944492,0.05520297474822015,-0.005541154022916675,0.2255411540229167,6.2
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,ER,20,0.59,0.4564162458476738,0.10205777517506548,0.37639062161919745,0.8036093783808025,5.569999999999999
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,GR,20,0.41,0.46100576546229194,0.10308402295930096,0.19424266032100942,0.6257573396789905,6.090000000000001
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,released,20,0.11000000000000001,0.2468752081944492,0.05520297474822015,-0.005541154022916675,0.2255411540229167,6.2
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,zero_fixed,20,0.11000000000000001,0.2468752081944492,0.05520297474822015,-0.005541154022916675,0.2255411540229167,6.2
weak_sbm,primary_fixed_K,A_incremental,released,ER,17,0.0,0.0,0.0,0.0,0.0,6.705882352941177
weak_sbm,primary_fixed_K,A_incremental,released,GR,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,primary_fixed_K,A_incremental,released,released,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,primary_fixed_K,A_incremental,released,zero_fixed,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,ER,17,0.0,0.0,0.0,0.0,0.0,6.705882352941177
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,GR,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,released,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,zero_fixed,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,primary_fixed_K,B_absolute,released,ER,17,0.0,0.0,0.0,0.0,0.0,6.705882352941177
weak_sbm,primary_fixed_K,B_absolute,released,GR,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,primary_fixed_K,B_absolute,released,released,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,primary_fixed_K,B_absolute,released,zero_fixed,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,ER,17,0.0,0.0,0.0,0.0,0.0,6.705882352941177
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,GR,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,released,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,zero_fixed,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,primary_fixed_K,C_criterion,released,ER,17,0.0,0.0,0.0,0.0,0.0,6.705882352941177
weak_sbm,primary_fixed_K,C_criterion,released,GR,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,primary_fixed_K,C_criterion,released,released,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,primary_fixed_K,C_criterion,released,zero_fixed,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,ER,17,0.0,0.0,0.0,0.0,0.0,6.705882352941177
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,GR,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,released,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,zero_fixed,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,robustness_K_equals_d_hat,A_incremental,released,ER,17,0.0,0.0,0.0,0.0,0.0,6.705882352941177
weak_sbm,robustness_K_equals_d_hat,A_incremental,released,GR,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,robustness_K_equals_d_hat,A_incremental,released,released,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,robustness_K_equals_d_hat,A_incremental,released,zero_fixed,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,ER,17,0.0,0.0,0.0,0.0,0.0,6.705882352941177
weak_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,GR,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,released,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,zero_fixed,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,robustness_K_equals_d_hat,B_absolute,released,ER,17,0.0,0.0,0.0,0.0,0.0,6.705882352941177
weak_sbm,robustness_K_equals_d_hat,B_absolute,released,GR,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,robustness_K_equals_d_hat,B_absolute,released,released,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,robustness_K_equals_d_hat,B_absolute,released,zero_fixed,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,ER,17,0.0,0.0,0.0,0.0,0.0,6.705882352941177
weak_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,GR,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,released,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,zero_fixed,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,robustness_K_equals_d_hat,C_criterion,released,ER,17,0.011764705882352941,0.04850712500726659,0.01176470588235294,-0.013175356461423659,0.036704768226129544,6.705882352941177
weak_sbm,robustness_K_equals_d_hat,C_criterion,released,GR,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,robustness_K_equals_d_hat,C_criterion,released,released,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,robustness_K_equals_d_hat,C_criterion,released,zero_fixed,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,ER,17,0.011764705882352941,0.04850712500726659,0.01176470588235294,-0.013175356461423659,0.036704768226129544,6.705882352941177
weak_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,GR,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,released,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
weak_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,zero_fixed,17,0.0,0.0,0.0,0.0,0.0,6.905882352941177
