dgp,K_branch,variant,baing_branch,r_used,mean_r_next,modal_r_next,p_next_eq_r_true,mean_d_hat,mean_ARI,n
weak_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,4.0,6.011764705882353,6,0.0,3.0,0.2326188754459205,85
weak_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,5.0,6.588235294117647,7,0.0,2.070588235294118,0.046718548248492656,85
weak_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,6.0,6.729411764705882,7,0.0,3.1411764705882352,0.03916846987393863,85
weak_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,7.0,6.9411764705882355,7,0.0,4.788235294117647,0.00161230511428388,85
weak_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,8.0,6.9411764705882355,7,0.0,4.882352941176471,0.0023628304880136965,85
weak_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,9.0,6.9411764705882355,7,0.0,5.117647058823529,-0.00045068999326172763,85
weak_sbm,robustness_K_equals_d_hat,C_criterion,released,1.0,6.9411764705882355,7,0.0,5.9411764705882355,0.02983814697099407,85
weak_sbm,robustness_K_equals_d_hat,C_criterion,released,2.0,6.9411764705882355,7,0.0,5.0,0.05388856906469799,85
weak_sbm,robustness_K_equals_d_hat,C_criterion,released,3.0,6.91764705882353,7,0.011764705882352941,4.0,0.1322066897896781,85
weak_sbm,robustness_K_equals_d_hat,C_criterion,released,4.0,6.823529411764706,7,0.058823529411764705,3.0,0.2326188754459205,85
weak_sbm,robustness_K_equals_d_hat,C_criterion,released,5.0,6.694117647058824,7,0.08235294117647059,2.070588235294118,0.046718548248492656,85
weak_sbm,robustness_K_equals_d_hat,C_criterion,released,6.0,6.788235294117647,7,0.0,3.1411764705882352,0.03916846987393863,85
weak_sbm,robustness_K_equals_d_hat,C_criterion,released,7.0,6.964705882352941,7,0.0,4.788235294117647,0.00161230511428388,85
weak_sbm,robustness_K_equals_d_hat,C_criterion,released,8.0,6.9411764705882355,7,0.0,4.882352941176471,0.0023628304880136965,85
weak_sbm,robustness_K_equals_d_hat,C_criterion,released,9.0,6.976470588235294,7,0.0,5.117647058823529,-0.00045068999326172763,85
weak_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,1.0,6.9411764705882355,7,0.0,5.9411764705882355,0.02983814697099407,85
weak_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,2.0,6.9411764705882355,7,0.0,5.0,0.05388856906469799,85
weak_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,3.0,6.91764705882353,7,0.011764705882352941,4.0,0.1322066897896781,85
weak_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,4.0,6.823529411764706,7,0.058823529411764705,3.0,0.2326188754459205,85
weak_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,5.0,6.694117647058824,7,0.08235294117647059,2.070588235294118,0.046718548248492656,85
weak_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,6.0,6.788235294117647,7,0.0,3.1411764705882352,0.03916846987393863,85
weak_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,7.0,6.964705882352941,7,0.0,4.788235294117647,0.00161230511428388,85
weak_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,8.0,6.9411764705882355,7,0.0,4.882352941176471,0.0023628304880136965,85
weak_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,9.0,6.976470588235294,7,0.0,5.117647058823529,-0.00045068999326172763,85
